"time", "BouncingBall.h", "BouncingBall.v", "BouncingBall.der(h)", "BouncingBall.der(v)", "BouncingBall.ground"
1.44, 0.558235025425, 2.308464675, 2.308464675, -9.81, 0.1
1.44, 0.558235025425, 2.308464675, 2.308464675, -9.81, 0.1
1.45, 0.580878222175, 2.210364675, 2.210364675, -9.81, 0.1
1.45, 0.580878222175, 2.210364675, 2.210364675, -9.81, 0.1
1.46, 0.602540418925, 2.112264675, 2.112264675, -9.81, 0.1
1.46, 0.602540418925, 2.112264675, 2.112264675, -9.81, 0.1
1.47, 0.623221615675, 2.014164675, 2.014164675, -9.81, 0.1
1.47, 0.623221615675, 2.014164675, 2.014164675, -9.81, 0.1
1.48, 0.642921812425, 1.916064675, 1.916064675, -9.81, 0.1
1.48, 0.642921812425, 1.916064675, 1.916064675, -9.81, 0.1
1.49, 0.661641009175, 1.817964675, 1.817964675, -9.81, 0.1
1.49, 0.661641009175, 1.817964675, 1.817964675, -9.81, 0.1
1.5, 0.679379205925, 1.719864675, 1.719864675, -9.81, 0.1
1.5, 0.679379205925, 1.719864675, 1.719864675, -9.81, 0.1
1.51, 0.696136402675, 1.621764675, 1.621764675, -9.81, 0.1
1.51, 0.696136402675, 1.621764675, 1.621764675, -9.81, 0.1
1.52, 0.711912599425, 1.523664675, 1.523664675, -9.81, 0.1
1.52, 0.711912599425, 1.523664675, 1.523664675, -9.81, 0.1
1.53, 0.726707796175, 1.425564675, 1.425564675, -9.81, 0.1
1.53, 0.726707796175, 1.425564675, 1.425564675, -9.81, 0.1
1.54, 0.740521992925, 1.327464675, 1.327464675, -9.81, 0.1
1.54, 0.740521992925, 1.327464675, 1.327464675, -9.81, 0.1
1.55, 0.753355189675, 1.229364675, 1.229364675, -9.81, 0.1
1.55, 0.753355189675, 1.229364675, 1.229364675, -9.81, 0.1
1.56, 0.765207386425, 1.131264675, 1.131264675, -9.81, 0.1
1.56, 0.765207386425, 1.131264675, 1.131264675, -9.81, 0.1
1.57, 0.776078583175, 1.033164675, 1.033164675, -9.81, 0.1
1.57, 0.776078583175, 1.033164675, 1.033164675, -9.81, 0.1
1.58, 0.785968779925, 0.935064675, 0.935064675, -9.81, 0.1
1.58, 0.785968779925, 0.935064675, 0.935064675, -9.81, 0.1
1.59, 0.794877976675, 0.836964675, 0.836964675, -9.81, 0.1
1.59, 0.794877976675, 0.836964675, 0.836964675, -9.81, 0.1
1.6, 0.802806173425, 0.738864675, 0.738864675, -9.81, 0.1
1.6, 0.802806173425, 0.738864675, 0.738864675, -9.81, 0.1
1.61, 0.809753370175, 0.640764675, 0.640764675, -9.81, 0.1
1.61, 0.809753370175, 0.640764675, 0.640764675, -9.81, 0.1
1.62, 0.815719566925, 0.542664675, 0.542664675, -9.81, 0.1
1.62, 0.815719566925, 0.542664675, 0.542664675, -9.81, 0.1
1.63, 0.820704763675, 0.444564675, 0.444564675, -9.81, 0.1
1.63, 0.820704763675, 0.444564675, 0.444564675, -9.81, 0.1
1.64, 0.824708960425, 0.346464675, 0.346464675, -9.81, 0.1
1.64, 0.824708960425, 0.346464675, 0.346464675, -9.81, 0.1
1.65, 0.827732157175, 0.248364675, 0.248364675, -9.81, 0.1
1.65, 0.827732157175, 0.248364675, 0.248364675, -9.81, 0.1
1.66, 0.829774353925, 0.150264675, 0.150264675, -9.81, 0.1
1.66, 0.829774353925, 0.150264675, 0.150264675, -9.81, 0.1
1.67, 0.830835550675, 0.052164675, 0.052164675, -9.81, 0.1
1.67, 0.830835550675, 0.052164675, 0.052164675, -9.81, 0.1
1.68, 0.830915747425, -0.045935325, -0.045935325, -9.81, 0.1
1.68, 0.830915747425, -0.045935325, -0.045935325, -9.81, 0.1
1.69, 0.830014944175, -0.144035325, -0.144035325, -9.81, 0.1
1.69, 0.830014944175, -0.144035325, -0.144035325, -9.81, 0.1
1.7, 0.828133140925, -0.242135325, -0.242135325, -9.81, 0.1
